 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
896,188,1,270.212,47.104,0,5.276,1.04,1.409,2.056,3.224,0.056
899,189,1,311.857,56.127,0,4.372,1.005,1.335,1.91,2.938,0.026
906,190,1,11.187,57.64,0,6.457,1.12,1.574,2.382,3.852,0.067
908,191,1,467.254,57.747,0,6.105,1.043,1.397,2.004,3.076,0.078
910,192,1,346.868,63.733,0,5.668,1.134,1.629,2.524,4.178,0.009
914,193,1,80.495,66.112,0,5.087,0.994,1.284,1.771,2.613,0.06
916,194,1,482.205,71.405,0,6.594,1.11,1.549,2.328,3.743,0.092
918,195,1,116.628,79.661,0,5.308,0.959,1.225,1.673,2.453,0.049
922,196,1,130.685,82.644,0,5.232,0.979,1.265,1.755,2.617,0.064
930,197,1,453.511,84.143,0,5.613,1.004,1.326,1.88,2.866,0.042
933,198,1,486.256,94.773,0,6.795,1.132,1.594,2.41,3.894,0.08
939,199,1,303.507,100.139,0,5.897,1.023,1.362,1.948,2.993,0.065
941,200,1,394.247,102.761,0,4.542,0.968,1.248,1.73,2.581,0.051
943,201,1,14.709,113.417,0,5.164,0.968,1.232,1.67,2.419,0.055
949,202,1,69.173,120.89,0,4.585,1.035,1.408,2.069,3.274,0.036
952,203,1,239.642,120.301,0,6.737,1.097,1.515,2.248,3.567,0.101
954,204,1,197.687,122.552,0,6.475,1.07,1.449,2.105,3.269,0.125
957,205,1,420.925,133.602,0,4.605,0.982,1.28,1.791,2.695,0.062
961,206,1,13.422,138.135,0,5.799,1.011,1.332,1.883,2.854,0.049
963,207,1,469.208,140.723,0,5.039,0.968,1.263,1.777,2.7,0.058
965,208,1,51.752,141.553,0,6.552,1.045,1.394,1.991,3.042,0.099
969,209,1,335.354,150.296,0,6.815,1.046,1.407,2.031,3.142,0.061
973,210,1,315.87,157.847,0,5.566,1.074,1.47,2.163,3.411,0.03
983,211,1,185.598,158.939,0,3.865,0.932,1.17,1.563,2.233,0.032
985,212,1,131.686,159.457,0,6.586,1.082,1.474,2.152,3.361,0.111
995,213,1,99.27,160.893,0,5.46,1.043,1.41,2.052,3.206,0.041
1001,214,1,437.885,164.688,0,3.773,0.997,1.294,1.797,2.671,0.025
1003,215,1,33.508,166.694,0,6.937,1.101,1.529,2.284,3.649,0.068
1005,216,1,1.684,180.123,0,3.661,0.973,1.225,1.63,2.301,0.019
1007,217,1,510.933,183.722,0,3.005,0.941,1.249,1.791,2.766,0.007
1009,218,1,356.418,188.323,0,6.793,1.087,1.49,2.195,3.46,0.096
1012,219,1,159.473,191.104,0,6.109,1.041,1.411,2.06,3.232,0.077
1015,220,1,415.676,194.349,0,6.446,1.03,1.379,1.984,3.062,0.107
1017,221,1,386.342,199.17,0,6.034,1.07,1.457,2.132,3.34,0.068
1024,222,1,6.363,213.511,0,6.766,1.091,1.507,2.24,3.564,0.1
1026,223,1,10.805,217.348,0,4.401,0.922,1.149,1.532,2.192,0.027
1032,224,1,314.581,220.244,0,6.602,1.11,1.542,2.3,3.667,0.095
1035,225,1,119.382,221.488,0,6.159,1.018,1.344,1.903,2.89,0.068
1038,226,1,171.484,227.881,0,6.146,1.037,1.398,2.029,3.163,0.076
1042,227,1,230.477,229.281,0,4.309,0.947,1.192,1.596,2.286,0.033
1044,228,1,429.717,240.228,0,5.971,1.041,1.393,2.001,3.076,0.076
1048,229,1,101.626,248.027,0,3.997,0.994,1.3,1.82,2.729,0.022
1058,230,1,165.347,262.694,0,6.464,1.034,1.391,2.016,3.136,0.113
